   No.  matricula     nombre      ap Paterno      ap Materno  edad     sexo
     1     300383     JOFREY          GARCIA            SOTO    44   HOMBRE
     2     300425      PEDRO           LOPEZ       CONTRERAS    26   HOMBRE
     3     300429  KASSANDRA          ACOSTA          TORRES    20    MUJER
     4     300518       ROSA           LOPEZ           YEPIZ    54    MUJER
     5     300587   CRISTINA          TORRES         MORALES    43    MUJER
     6     300620       ROSA          TORRES          ACOSTA    37    MUJER
     7     300676      REYNA           NUNEZ           LOPEZ    18    MUJER
     8     300785     LUPITA          TORRES           LOPEZ    21    MUJER
     9     300809    VEGUETA          TORRES          GARCIA    43   HOMBRE
    10     300811   CRISTINA          ACOSTA          ACOSTA    36    MUJER
    11     300834      GOHAN       CONTRERAS           LOPEZ    28   HOMBRE
    12     300856  KASSANDRA          ACOSTA          TORRES    52    MUJER
    13     300858    PANFILA           NUNEZ           NUNEZ    53    MUJER
    14     300941     JOFREY         MORALES          ACOSTA    50   HOMBRE
    15     301131      PEDRO       CONTRERAS          GARCIA    24   HOMBRE
    16     301145      MARIA           PEREZ           NUNEZ    33    MUJER
    17     301164  KASSANDRA         MORALES           LOPEZ    33    MUJER
    18     301185     BRENDA           PEREZ           YEPIZ    18    MUJER
    19     301258  KASSANDRA           LOPEZ          TORRES    48    MUJER
    20     301423  KASSANDRA          TORRES         MORALES    37    MUJER
    21     301426     ANGELA       GUTIERREZ            VEGA    46    MUJER
    22     301430      PEDRO          TORRES       CONTRERAS    30   HOMBRE
    23     301469       LUNA           NUNEZ          TORRES    33    MUJER
    24     301877       ROSA          ACOSTA       CONTRERAS    49    MUJER
    25     302053       GOKU          TORRES          ACOSTA    28   HOMBRE
    26     302187      GOTEM           NUNEZ          ACOSTA    38   HOMBRE
    27     302269       ROSA          TORRES         MORALES    28    MUJER
    28     302376      GOHAN            SOTO           LOPEZ    25   HOMBRE
    29     302505       ROSA         MORALES       CONTRERAS    15    MUJER
    30     302522   KAKAROTO            SOTO       CONTRERAS    40   HOMBRE
    31     302532       GOKU           LOPEZ           LOPEZ    15   HOMBRE
    32     302724    PANFILA           LOPEZ          GARCIA    47    MUJER
    33     302898      REYNA           YEPIZ           PEREZ    43    MUJER
    34     303024     BRENDA           YEPIZ            SOTO    16    MUJER
    35     303036       LUNA           YEPIZ            SOTO    33    MUJER
    36     303157   KAKAROTO       CONTRERAS          GARCIA    29   HOMBRE
    37     303171       JONH            SOTO       CONTRERAS    18   HOMBRE
    38     303176      EDRAD         MORALES          TORRES    19   HOMBRE
    39     303448      PEDRO           PEREZ            SOTO    34   HOMBRE
    40     303450    VEGUETA           LOPEZ           NUNEZ    18   HOMBRE
    41     303532      EDRAD       CONTRERAS       CONTRERAS    33   HOMBRE
